Aut,Biblio,001,Campo,$9,$a,SC2
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=22490,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20883,=001  20883,650,22490,b'TUNELES DE FERROCARRIL'
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=4142,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20884,=001  20884,100,4142,"b'Delpini, Jos\xc3\xa9 Luis'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=19587,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20884,=001  20884,650,19587,b'MAQUINAS DE VAPOR'
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=22569,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20884,=001  20884,650,22569,b'VALVULAS[MECANICAS]'
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=2736,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20884,=001  20884,700,2736,"b'Butty, Enrique'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=8275,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20884,=001  20884,700,8275,"b'Latzina, Eduardo'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=17311,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20885,=001  20885,650,17311,b'DIQUES SECOS'
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=21026,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20886,=001  20886,650,21026,b'PUENTES FERROVIARIOS'
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=22646,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20886,=001  20886,650,22646,b'VIGAS DE CELOSIA'
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=21019,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20887,=001  20887,650,21019,b'PUENTES COLGANTES'
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=21022,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20887,=001  20887,650,21022,b'PUENTES DE CARRETERAS'
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=15394,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20888,=001  20888,650,15394,b'AGRIMENSURA'
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=19400,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20888,=001  20888,650,19400,b'LEVANTAMIENTOS TOPOGRAFICOS'
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=21201,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20888,=001  20888,650,21201,b'RECONOCIMIENTO TOPOGRAFICO'
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=21023,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20889,=001  20889,650,21023,b'PUENTES DE HORMIGON'
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=17643,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20891,=001  20891,650,17643,b'ELIMINACION DE AGUAS RESIDUALES'
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=22428,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20891,=001  20891,650,22428,b'TRATAMIENTO DE AGUAS DE ALCANTARILLADO'
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=16451,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20892,=001  20892,650,16451,b'CIUDADES'
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=17132,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20892,=001  20892,650,17132,b'DESAG\xc3\x9cES'
